main_entity,entity_type,mention_count,mentions,source_file,normalized_entity,aliases,section_titles,merged_entities,disambiguation_confidence,disambiguation_method,disambiguation_basis
初始标记,垃圾回收算法实体,4,初始标记,JVM.txt,初始标记,初始标记,使用ThreadLocal,初始标记,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=初始标记；章节=使用ThreadLocal
双亲委派模型,领域实体,4,双亲委派模型,JVM.txt,双亲委派模型,双亲委派模型,使用ThreadLocal,双亲委派模型,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=双亲委派模型；章节=使用ThreadLocal
对象实例,对象与字符串相关实体,4,对象实例,JVM.txt,对象实例,对象实例,全文 | 使用ThreadLocal,对象实例,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=对象实例；章节=全文|使用ThreadLocal
操作数栈,栈与栈帧相关实体,4,操作数栈,JVM.txt,操作数栈,操作数栈,全文,操作数栈,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=操作数栈；章节=全文
时间片,线程与私有性相关实体,4,时间片,JVM.txt,时间片,时间片,全文,时间片,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=时间片；章节=全文
本地方法栈,内存区域实体,4,本地方法栈,JVM.txt,本地方法栈,本地方法栈,全文 | 使用ThreadLocal,本地方法栈,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=本地方法栈；章节=全文|使用ThreadLocal
自定义类加载器,领域实体,4,自定义类加载器,JVM.txt,自定义类加载器,自定义类加载器,使用ThreadLocal,自定义类加载器,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=自定义类加载器；章节=使用ThreadLocal
运行时常量池,内存区域实体,4,运行时常量池,JVM.txt,运行时常量池,运行时常量池,全文,运行时常量池,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=运行时常量池；章节=全文
静态集合,场景与问题实体,4,静态集合,JVM.txt,静态集合,静态集合,全文,静态集合,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=静态集合；章节=全文
ParNew,垃圾回收器实体,3,ParNew,JVM.txt,ParNew,ParNew,使用ThreadLocal,ParNew,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=ParNew；章节=使用ThreadLocal
ThreadLocalMap,代码与容器实体,3,ThreadLocalMap,JVM.txt,ThreadLocalMap,ThreadLocalMap,使用ThreadLocal,ThreadLocalMap,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=ThreadLocalMap；章节=使用ThreadLocal
Young GC,垃圾回收核心概念实体,3,Young GC,JVM.txt,Young GC,Young GC,使用ThreadLocal,Young GC,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=Young GC；章节=使用ThreadLocal
new 指令,对象与字符串相关实体,3,new 指令 | new指令,JVM.txt,new 指令,new 指令 | new指令,全文 | 使用ThreadLocal,new 指令,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=new 指令；章节=全文|使用ThreadLocal
分代回收,垃圾回收核心概念实体,3,分代回收 | 分代回收算法,JVM.txt,分代回收,分代回收 | 分代回收算法,使用ThreadLocal,分代回收 | 分代回收算法,0.7611,实体标准化 + 候选召回 + LocalCrossEncoder上下文重排 + 类型/章节约束 + 共现图一致性,名称相似=0.59；上下文相似=0.96；章节重叠=1.00；存在可接受标准化变体
大堆内存,内存区域实体,3,大堆内存,JVM.txt,大堆内存,大堆内存,全文 | 使用ThreadLocal,大堆内存,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=大堆内存；章节=全文|使用ThreadLocal
大对象区,堆结构实体,3,大对象区,JVM.txt,大对象区,大对象区,全文,大对象区,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=大对象区；章节=全文
字符串常量池,对象与字符串相关实体,3,字符串常量池,JVM.txt,字符串常量池,字符串常量池,全文,字符串常量池,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=字符串常量池；章节=全文
字面量,对象与字符串相关实体,3,字面量,JVM.txt,字面量,字面量,全文 | 使用ThreadLocal,字面量,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=字面量；章节=全文|使用ThreadLocal
对象池,场景与问题实体,3,对象池,JVM.txt,对象池,对象池,全文,对象池,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=对象池；章节=全文
指针,栈与栈帧相关实体,3,指针,JVM.txt,指针,指针,全文 | 使用ThreadLocal,指针,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=指针；章节=全文|使用ThreadLocal
无限递归,场景与问题实体,3,无限递归,JVM.txt,无限递归,无限递归,全文,无限递归,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=无限递归；章节=全文
本地内存,内存区域实体,3,本地内存,JVM.txt,本地内存,本地内存,全文,本地内存,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=本地内存；章节=全文
类初始化,类加载过程实体,3,类初始化,JVM.txt,类初始化,类初始化,全文 | 使用ThreadLocal,类初始化,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=类初始化；章节=全文|使用ThreadLocal
虚引用,引用类型实体,3,虚引用,JVM.txt,虚引用,虚引用,全文,虚引用,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=虚引用；章节=全文
-Xms,JVM参数与配置实体,2,-Xms,JVM.txt,-Xms,-Xms,全文 | 使用ThreadLocal,-Xms,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=-Xms；章节=全文|使用ThreadLocal
-Xmx,JVM参数与配置实体,2,-Xmx,JVM.txt,-Xmx,-Xmx,全文 | 使用ThreadLocal,-Xmx,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=-Xmx；章节=全文|使用ThreadLocal
-Xss,JVM参数与配置实体,2,-Xss,JVM.txt,-Xss,-Xss,全文,-Xss,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=-Xss；章节=全文
ArrayList,代码与容器实体,2,ArrayList,JVM.txt,ArrayList,ArrayList,全文 | 静态属性导致内存泄露,ArrayList,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=ArrayList；章节=全文|静态属性导致内存泄露
Bootstrap ClassLoader,类加载器实体,2,Bootstrap ClassLoader,JVM.txt,Bootstrap ClassLoader,Bootstrap ClassLoader,使用ThreadLocal,Bootstrap ClassLoader,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=Bootstrap ClassLoader；章节=使用ThreadLocal
Extension ClassLoader,类加载器实体,2,Extension ClassLoader,JVM.txt,Extension ClassLoader,Extension ClassLoader,使用ThreadLocal,Extension ClassLoader,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=Extension ClassLoader；章节=使用ThreadLocal
Garbage Collection,垃圾回收核心概念实体,2,Garbage Collection,JVM.txt,Garbage Collection,Garbage Collection,全文 | 使用ThreadLocal,Garbage Collection,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=Garbage Collection；章节=全文|使用ThreadLocal
Humongous Objects,堆结构实体,2,Humongous Objects,JVM.txt,Humongous Objects,Humongous Objects,全文,Humongous Objects,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=Humongous Objects；章节=全文
JVM内存模型,领域实体,2,JVM内存模型,JVM.txt,JVM内存模型,JVM内存模型,全文,JVM内存模型,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=JVM内存模型；章节=全文
Java heap space,异常与错误实体,2,Java heap space,JVM.txt,Java heap space,Java heap space,全文,Java heap space,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=Java heap space；章节=全文
Metaspace,异常与错误实体,2,Metaspace,JVM.txt,Metaspace,Metaspace,全文,Metaspace,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=Metaspace；章节=全文
NIO,工具与排查实体,2,NIO,JVM.txt,NIO,NIO,全文,NIO,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=NIO；章节=全文
Native 方法,线程与私有性相关实体,2,Native 方法,JVM.txt,Native 方法,Native 方法,全文,Native 方法,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=Native 方法；章节=全文
Old Generation,堆结构实体,2,Old Generation,JVM.txt,Old Generation,Old Generation,全文 | 使用ThreadLocal,Old Generation,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=Old Generation；章节=全文|使用ThreadLocal
Parallel Scavenge,垃圾回收器实体,2,Parallel Scavenge,JVM.txt,Parallel Scavenge,Parallel Scavenge,使用ThreadLocal,Parallel Scavenge,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=Parallel Scavenge；章节=使用ThreadLocal
S0,堆结构实体,2,S0,JVM.txt,S0,S0,全文 | 使用ThreadLocal,S0,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=S0；章节=全文|使用ThreadLocal
S1,堆结构实体,2,S1,JVM.txt,S1,S1,全文 | 使用ThreadLocal,S1,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=S1；章节=全文|使用ThreadLocal
System.gc,领域实体,2,System.gc,JVM.txt,System.gc,System.gc,使用ThreadLocal,System.gc,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=System.gc；章节=使用ThreadLocal
WeakReference,引用类型实体,2,WeakReference,JVM.txt,WeakReference,WeakReference,全文,WeakReference,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=WeakReference；章节=全文
事件监听,场景与问题实体,2,事件监听,JVM.txt,事件监听,事件监听,全文,事件监听,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=事件监听；章节=全文
二进制字节流,类加载过程实体,2,二进制字节流,JVM.txt,二进制字节流,二进制字节流,使用ThreadLocal,二进制字节流,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=二进制字节流；章节=使用ThreadLocal
再标记,垃圾回收算法实体,2,再标记,JVM.txt,再标记,再标记,使用ThreadLocal,再标记,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=再标记；章节=使用ThreadLocal
初始化零值,类加载过程实体,2,初始化零值,JVM.txt,初始化零值,初始化零值,使用ThreadLocal,初始化零值,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=初始化零值；章节=使用ThreadLocal
初始标记阶段,垃圾回收算法实体,2,初始标记阶段,JVM.txt,初始标记阶段,初始标记阶段,使用ThreadLocal,初始标记阶段,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=初始标记阶段；章节=使用ThreadLocal
动态链接,栈与栈帧相关实体,2,动态链接,JVM.txt,动态链接,动态链接,全文,动态链接,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=动态链接；章节=全文
单例,代码与容器实体,2,单例,JVM.txt,单例,单例,全文 | 静态属性导致内存泄露,单例,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=单例；章节=全文|静态属性导致内存泄露
