main_entity,entity_type,mention_count,mentions,source_file,normalized_entity,aliases,section_titles,merged_entities,disambiguation_confidence,disambiguation_method,disambiguation_basis
静态变量,变量与成员实体,2,静态变量,java.txt,静态变量,静态变量,变量与运算符 | JVM基础,静态变量,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=静态变量；章节=变量与运算符|JVM基础
@Deprecated,注解实体,1,@Deprecated,java.txt,@Deprecated,@Deprecated,注解,@Deprecated,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=@Deprecated；章节=注解
@Documented,注解实体,1,@Documented,java.txt,@Documented,@Documented,注解,@Documented,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=@Documented；章节=注解
@FunctionalInterface,注解实体,1,@FunctionalInterface,java.txt,@FunctionalInterface,@FunctionalInterface,注解,@FunctionalInterface,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=@FunctionalInterface；章节=注解
@Inherited,注解实体,1,@Inherited,java.txt,@Inherited,@Inherited,注解,@Inherited,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=@Inherited；章节=注解
@Override,注解实体,1,@Override,java.txt,@Override,@Override,注解,@Override,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=@Override；章节=注解
@Retention,注解实体,1,@Retention,java.txt,@Retention,@Retention,注解,@Retention,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=@Retention；章节=注解
@SuppressWarnings,注解实体,1,@SuppressWarnings,java.txt,@SuppressWarnings,@SuppressWarnings,注解,@SuppressWarnings,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=@SuppressWarnings；章节=注解
@Target,注解实体,1,@Target,java.txt,@Target,@Target,注解,@Target,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=@Target；章节=注解
@interface,注解实体,1,@interface,java.txt,@interface,@interface,注解,@interface,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=@interface；章节=注解
Annotation,注解实体,1,Annotation,java.txt,Annotation,Annotation,注解,Annotation,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=Annotation；章节=注解
Application ClassLoader,JVM 与内存管理实体,1,Application ClassLoader,java.txt,Application ClassLoader,Application ClassLoader,JVM基础,Application ClassLoader,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=Application ClassLoader；章节=JVM基础
ArrayList,集合框架实体,1,ArrayList,java.txt,ArrayList,ArrayList,集合框架,ArrayList,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=ArrayList；章节=集合框架
Bootstrap ClassLoader,JVM 与内存管理实体,1,Bootstrap ClassLoader,java.txt,Bootstrap ClassLoader,Bootstrap ClassLoader,JVM基础,Bootstrap ClassLoader,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=Bootstrap ClassLoader；章节=JVM基础
Box<T,泛型实体,1,Box<T,java.txt,Box<T,Box<T,泛型,Box<T,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=Box<T；章节=泛型
Callable,线程与并发实体,1,Callable,java.txt,Callable,Callable,线程与并发,Callable,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=Callable；章节=线程与并发
Checked Exception,异常处理实体,1,Checked Exception,java.txt,Checked Exception,Checked Exception,异常处理,Checked Exception,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=Checked Exception；章节=异常处理
Class.forName,领域实体,1,Class.forName,java.txt,Class.forName,Class.forName,反射,Class.forName,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=Class.forName；章节=反射
Collections,集合框架实体,1,Collections,java.txt,Collections,Collections,集合框架,Collections,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=Collections；章节=集合框架
